ProductID	Name	ProductNumber	MakeFlag	FinishedGoodsFlag	Color	SafetyStockLevel	ReorderPoint	StandardCost	ListPrice	Size	SizeUnitMeasureCode	WeightUnitMeasureCode	Weight	DaysToManufacture	ProductLine	Class	Style	ProductSubcategoryID	ProductModelID	SellStartDate	SellEndDate	DiscontinuedDate	rowguid	ModifiedDate
778	Mountain-100 Black, 48	BK-M82B-48	1	1	Black	100	75	1898.0944	3374.99	48	CM 	LB 	21.42	4	M 	H 	U 	1	19	2011-05-31 00:00:00.000	2012-05-29 00:00:00.000	NULL	1B486300-7E64-4C5D-A9BA-A8368E20C5A0	2014-02-08 10:01:36.827
779	Mountain-200 Silver, 38	BK-M68S-38	1	1	Silver	100	75	1265.6195	2319.99	38	CM 	LB 	23.35	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	3A45D835-ABAE-4806-AC03-C53ABCD3B974	2014-02-08 10:01:36.827
780	Mountain-200 Silver, 42	BK-M68S-42	1	1	Silver	100	75	1265.6195	2319.99	42	CM 	LB 	23.77	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	CE4849B4-56E6-4B50-808B-9BDE67CC4704	2014-02-08 10:01:36.827
781	Mountain-200 Silver, 46	BK-M68S-46	1	1	Silver	100	75	1265.6195	2319.99	46	CM 	LB 	24.13	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	20799030-420C-496A-9922-09189C2B457E	2014-02-08 10:01:36.827
782	Mountain-200 Black, 38	BK-M68B-38	1	1	Black	100	75	1251.9813	2294.99	38	CM 	LB 	23.35	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	82CB8F9B-B8BB-4841-98D3-BCDB807C4DD8	2014-02-08 10:01:36.827
783	Mountain-200 Black, 42	BK-M68B-42	1	1	Black	100	75	1251.9813	2294.99	42	CM 	LB 	23.77	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	2B0AF5B9-7571-4621-B760-47DF599F9650	2014-02-08 10:01:36.827
784	Mountain-200 Black, 46	BK-M68B-46	1	1	Black	100	75	1251.9813	2294.99	46	CM 	LB 	24.13	4	M 	H 	U 	1	20	2012-05-30 00:00:00.000	NULL	NULL	33F42284-E216-4B98-BA48-B4EE18A01FA0	2014-02-08 10:01:36.827
785	Mountain-300 Black, 38	BK-M47B-38	1	1	Black	100	75	598.4354	1079.99	38	CM 	LB 	25.35	4	M 	M 	U 	1	21	2012-05-30 00:00:00.000	2013-05-29 00:00:00.000	NULL	F06C2CBF-0901-4C08-80ED-FB4E87171B3B	2014-02-08 10:01:36.827
786	Mountain-300 Black, 40	BK-M47B-40	1	1	Black	100	75	598.4354	1079.99	40	CM 	LB 	25.77	4	M 	M 	U 	1	21	2012-05-30 00:00:00.000	2013-05-29 00:00:00.000	NULL	580D4322-BE03-4C91-83D2-EE33EC6008AB	2014-02-08 10:01:36.827
787	Mountain-300 Black, 44	BK-M47B-44	1	1	Black	100	75	598.4354	1079.99	44	CM 	LB 	26.13	4	M 	M 	U 	1	21	2012-05-30 00:00:00.000	2013-05-29 00:00:00.000	NULL	07C2A548-0452-47B4-9DCE-6EDB0A30C85E	2014-02-08 10:01:36.827
